Product Name,Active Quantity,Minimum Quantity,Unit of Measurement,Date of Expiry,Storage Location,Category,UPC,Notes
"Beer - Blue","7","16","bottle","2026-07-10 12:00:00 AM","Fridge","Beverages","903648358974","Yuck"
"Lettuce - Romaine, Heart","2","4","neque","2023-10-14 12:00:00 AM","Freezer","CondimentsAndSauces","317801834202","et eros vestibulum ac est lacinia nisi venenatis tristique fusce"
"Pastry - Baked Cinnamon Stick","3","30","diam","2023-11-21 12:00:00 AM","Pantry","SpicesAndHerbs","","suspendisse potenti cras in purus eu"
"Tea - Lemon Green Tea","8","21","accumsan","2023-06-01 12:00:00 AM","Fridge","BakingIngredients","866997159838",""
"Mix - Cappucino Cocktail","8","11","imperdiet","2024-04-05 12:00:00 AM","Freezer","Seafood","388303883307","donec diam neque vestibulum eget vulputate"
"Otomegusa Dashi Konbu","8","13","sed","2023-06-13 12:00:00 AM","Pantry","BakingIngredients","135555493055",""
"Beef Flat Iron Steak","9","21","vestibulum","2023-02-09 12:00:00 AM","Pantry","Fruits","","ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor"
"Salmon - Smoked, Sliced","19","23","rhoncus","2023-04-01 12:00:00 AM","Freezer","SweetsAndSnacks","",""
"Capers - Pickled","0","5","Jar","2024-03-06 12:00:00 AM","Fridge","CondimentsAndSauces","","Bought at Costco"
"Mushroom - Lg - Cello","15","25","bibendum","2023-09-22 12:00:00 AM","Fridge","Seafood","226055771168","risus auctor sed tristique in tempus sit amet sem fusce consequat nulla"
"Energy Drink Red Bull","2","22","interdum","2024-11-23 12:00:00 AM","Pantry","Beverages","",""
"Hold Up Tool Storage Rack","17","26","sem","2023-03-10 12:00:00 AM","Pantry","GrainsAndCereals","512066820092","lectus in est risus auctor sed tristique in tempus sit amet sem"
"Soup - Campbells Beef Noodle","8","18","fusce","2023-02-19 12:00:00 AM","Fridge","SweetsAndSnacks","",""
"Milk 2% 500 Ml","1","13","amet","2024-07-08 12:00:00 AM","Pantry","Meats","","ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi"
"Meldea Green Tea Liquor","10","16","parturient","2023-04-16 12:00:00 AM","Freezer","SweetsAndSnacks","738620312923","felis sed lacus"
"Carbonated Water - Lemon Lime","25","28","augue","2023-08-07 12:00:00 AM","Freezer","Vegetables","",""
"Cup - 8oz Coffee Perforated","0","4","quam","2024-03-01 12:00:00 AM","Fridge","GrainsAndCereals","",""
"Sugar - Individual Portions","4","17","nulla","2023-04-27 12:00:00 AM","Freezer","Eggs","992613575465","mauris non ligula pellentesque"
"Tart Shells - Sweet, 3","3","11","sed","2024-01-03 12:00:00 AM","Pantry","SweetsAndSnacks","","luctus et ultrices"
"Cheese - Brie, Cups 125g","2","2","praesent","2023-06-27 12:00:00 AM","Pantry","Eggs","","lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non"
"Broom Handle","9","10","justo","2023-06-07 12:00:00 AM","Pantry","Meats","665855189923","pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla"
"Halibut - Whole, Fresh","1","2","consectetuer","2024-08-18 12:00:00 AM","Pantry","Dairy","179987261971",""
"Grapes - Green","23","24","duis","2024-07-06 12:00:00 AM","Freezer","SweetsAndSnacks","742227742082",""
"Pepper - Chipotle, Canned","12","20","odio","2023-06-28 12:00:00 AM","Fridge","GrainsAndCereals","361548500410",""
"Burger Veggie","15","30","elit","2023-05-29 12:00:00 AM","Fridge","Dairy","","habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit"
"Beans - Butter Lrg Lima","16","20","lobortis","2024-02-06 12:00:00 AM","Freezer","SweetsAndSnacks","242950332657","feugiat et eros vestibulum ac"
"Pork - Ground","4","28","a","2024-08-22 12:00:00 AM","Freezer","FatsAndOils","377341039541",""
"Wine - Peller Estates Late","17","21","condimentum","2024-08-14 12:00:00 AM","Freezer","CondimentsAndSauces","",""
"Jam - Apricot","12","18","faucibus","2023-04-19 12:00:00 AM","Freezer","BakingIngredients","",""
"Fenngreek Seed","5","5","viverra","2024-01-25 12:00:00 AM","Pantry","Vegetables","191154852181","nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo"
"Apple - Granny Smith","4","16","nulla","2024-05-31 12:00:00 AM","Pantry","SweetsAndSnacks","",""
"Carrots - Mini, Stem On","3","10","egestas","2023-07-20 12:00:00 AM","Pantry","SweetsAndSnacks","",""
"Fudge - Chocolate Fudge","1","13","duis","2024-05-09 12:00:00 AM","Fridge","Fruits","810325558971",""
"Mushrooms - Honey","15","29","velit","2024-06-03 12:00:00 AM","Freezer","Beverages","","dolor vel"
"Jagermeister","15","20","nisi","2023-06-30 12:00:00 AM","Fridge","Eggs","661857159491","nonummy maecenas tincidunt lacus at velit vivamus"
"Chevril","20","27","hac","2024-04-08 12:00:00 AM","Pantry","Beverages","566018018400",""
"Chinese Lemon Pork","10","11","fermentum","2024-10-02 12:00:00 AM","Fridge","BakingIngredients","",""
"Ecolab - Solid Fusion","19","23","nonummy","2024-09-19 12:00:00 AM","Fridge","Seafood","382780639507",""
"Bagels Poppyseed","6","18","quam","2024-01-11 12:00:00 AM","Fridge","Seafood","","velit eu est congue elementum in hac habitasse platea dictumst morbi"
"Compound - Pear","5","25","nisl","2024-05-11 12:00:00 AM","Freezer","Vegetables","",""
"Appetizer - Cheese Bites","3","23","sollicitudin","2023-09-09 12:00:00 AM","Pantry","Dairy","","ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at"
"Beef - Bones, Marrow","8","24","quis","2023-09-05 12:00:00 AM","Pantry","Eggs","","a nibh"
"Beef - Tenderloin - Aa","9","26","quis","2023-12-26 12:00:00 AM","Fridge","FatsAndOils","","cursus vestibulum proin eu mi nulla ac enim"
"Cake Sheet Combo Party Pack","1","15","in","2023-12-30 12:00:00 AM","Pantry","BakingIngredients","382360806933","in faucibus orci"
"Pepper - Paprika, Spanish","2","22","in","2024-11-01 12:00:00 AM","Pantry","Vegetables","376368034020",""
"Browning Caramel Glace","11","15","interdum","2024-05-31 12:00:00 AM","Freezer","Seafood","","semper est quam pharetra magna ac consequat metus sapien"
"Sour Puss Raspberry","12","19","sapien","2023-03-13 12:00:00 AM","Fridge","Vegetables","",""
"Cookies - Amaretto","7","15","viverra","2023-05-19 12:00:00 AM","Fridge","Vegetables","596814536170","at nulla suspendisse"
"Juice - Ocean Spray Cranberry","3","3","at","2024-11-26 12:00:00 AM","Freezer","Beverages","384797289773",""
"Pepper - Red, Finger Hot","8","21","quis","2024-09-11 12:00:00 AM","Freezer","Fruits","","amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi"
"Gelatine Leaves - Bulk","7","19","sapien","2024-09-09 12:00:00 AM","Fridge","Meats","","vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit"
"Rice - 7 Grain Blend","3","30","sed","2024-02-17 12:00:00 AM","Pantry","Vegetables","","sapien cum sociis"
"Onions Granulated","14","30","sem","2023-03-26 12:00:00 AM","Freezer","Vegetables","291689366986",""
"Spinach - Packaged","11","12","habitasse","2023-12-14 12:00:00 AM","Fridge","BakingIngredients","966647482987",""
"Rice - Jasmine Sented","20","30","pede","2023-05-14 12:00:00 AM","Pantry","Beverages","","facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit"
"Coffee - Cafe Moreno","14","17","platea","2024-07-12 12:00:00 AM","Fridge","BakingIngredients","791321248735","libero rutrum ac lobortis vel dapibus at diam nam"
"Chocolate Eclairs","17","20","nec","2024-09-17 12:00:00 AM","Freezer","SweetsAndSnacks","",""
"Guava","15","25","maecenas","2023-04-11 12:00:00 AM","Pantry","Dairy","",""
"Bandage - Flexible Neon","9","16","nisi","2024-11-18 12:00:00 AM","Fridge","FatsAndOils","","mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a"
"Soup - French Onion","5","9","pretium","2023-08-11 12:00:00 AM","Pantry","Seafood","","integer non velit donec diam neque vestibulum eget"
"Veal - Insides Provini","1","18","in","2024-04-12 12:00:00 AM","Freezer","Seafood","",""
"Vinegar - Champagne","12","23","vitae","2023-09-08 12:00:00 AM","Pantry","Fruits","",""
"Figs","2","12","lectus","2024-07-08 12:00:00 AM","Pantry","Vegetables","",""
"Rice Pilaf, Dry,package","6","28","consequat","2023-06-18 12:00:00 AM","Pantry","BakingIngredients","","pede ullamcorper augue a"
"Sambuca - Opal Nera","3","3","sed","2024-11-16 12:00:00 AM","Pantry","CondimentsAndSauces","",""
"Celery Root","11","15","tortor","2023-12-16 12:00:00 AM","Freezer","Dairy","","montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem"
"Milk - Skim","2","6","justo","2023-03-19 12:00:00 AM","Freezer","FatsAndOils","871762759352","in felis donec semper sapien a libero nam dui proin leo odio porttitor id"
"Olives - Morracan Dired","21","30","nisl","2023-07-31 12:00:00 AM","Freezer","SweetsAndSnacks","",""
"Skirt - 29 Foot","8","25","primis","2023-08-08 12:00:00 AM","Freezer","Beverages","",""
"Artichoke - Fresh","4","30","pharetra","2023-08-05 12:00:00 AM","Freezer","GrainsAndCereals","833422387865","non sodales"
"Pastry - Plain Baked Croissant","10","50","croissants","2024-02-28 12:00:00 AM","Pantry","Seafood","694821402441","I really like pastries!"
"Mayonnaise","18","27","lacinia","2024-01-17 12:00:00 AM","Freezer","SpicesAndHerbs","",""
"Campari","5","26","turpis","2023-09-06 12:00:00 AM","Freezer","Vegetables","",""
"Nougat - Paste / Cream","6","25","erat","2023-11-10 12:00:00 AM","Freezer","BakingIngredients","",""
"Squid - U - 10 Thailand","3","29","non","2024-12-04 12:00:00 AM","Pantry","Seafood","",""
"Longos - Assorted Sandwich","9","30","porta","2023-02-25 12:00:00 AM","Freezer","CondimentsAndSauces","950414213916",""
"artificial flavor","0","3","bottles","9999-12-31 12:00:00 AM","Pantry","Beverages","",""
